text,id,tweet,tweet_token,token_prediction,sentence_prediction,sentence_prediction_prob
"@AdrienneMarie_ And that whole ""pandemic"" thang. That saps us, too (not in context of actually being sick, just the entire shitshow).",1368335115953213443,"@AdrienneMarie_ And that whole ""pandemic"" thang. That saps us, too (not in context of actually being sick, just the entire shitshow).","['@USER', 'And', 'that', 'whole', '""', 'pandemic', '""', 'thang', '.', 'That', 'saps', 'us', ',', 'too', '(', 'not', 'in', 'context', 'of', 'actually', 'being', 'sick', ',', 'just', 'the', 'entire', 'shitshow', ')', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99862194
@EricAndAmerican You mean the vomit taste??,1368335112878706688,@EricAndAmerican You mean the vomit taste??,"['@USER', 'You', 'mean', 'the', 'vomit', 'taste', '?', '?']","O,O,O,O,O,O,O,O",0,0.99693006
Ui got nerfed GT got nerfed Kid buu got nerfed Gogeta is sick as fuck I'm harder than fucking diamonds,1368335110160986119,Ui got nerfed GT got nerfed Kid buu got nerfed Gogeta is sick as fuck I'm harder than fucking diamonds,"['Ui', 'got', 'nerfed', 'GT', 'got', 'nerfed', 'Kid', 'buu', 'got', 'nerfed', 'Gogeta', 'is', 'sick', 'as', 'fuck', ""I'm"", 'harder', 'than', 'fucking', 'diamonds']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99875045
@AsiaanDoll_ Sick sick girl,1368335101667459073,@AsiaanDoll_ Sick sick girl,"['@USER', 'Sick', 'sick', 'girl']","O,O,O,O",0,0.99890935
I am so depressed that I can't function and my meds aren't doing shit and I'm just so sick of living like this and pretending that I'm fine,1368335095082283010,I am so depressed that I can't function and my meds aren't doing shit and I'm just so sick of living like this and pretending that I'm fine,"['I', 'am', 'so', 'depressed', 'that', 'I', ""can't"", 'function', 'and', 'my', 'meds', ""aren't"", 'doing', 'shit', 'and', ""I'm"", 'just', 'so', 'sick', 'of', 'living', 'like', 'this', 'and', 'pretending', 'that', ""I'm"", 'fine']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9988813
I’m sick and tired of being sick and tired,1368335093895327744,I'm sick and tired of being sick and tired,"[""I'm"", 'sick', 'and', 'tired', 'of', 'being', 'sick', 'and', 'tired']","O,O,O,O,O,O,O,O,O",0,0.9989513
@AshleyRParker Legislative diarrhea.  You're welcome.,1368335080196775941,@AshleyRParker Legislative diarrhea.  You're welcome.,"['@USER', 'Legislative', 'diarrhea', '.', ""You're"", 'welcome', '.']","O,O,O,O,O,O,O",0,0.9946515
Either If Oh the waves  than the waves on the waves are sick  or the waves on that set are dope .,1368335080054263808,Either If Oh the waves  than the waves on the waves are sick  or the waves on that set are dope .,"['Either', 'If', 'Oh', 'the', 'waves', 'than', 'the', 'waves', 'on', 'the', 'waves', 'are', 'sick', 'or', 'the', 'waves', 'on', 'that', 'set', 'are', 'dope', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99831545
@Katynurse27 @GNev2 Get over yourself where are you going to get another job on that pay with six months full sick pay and 6 months half pay and a great pension deal you need to get in the real world my dear,1368335077822898181,@Katynurse27 @GNev2 Get over yourself where are you going to get another job on that pay with six months full sick pay and 6 months half pay and a great pension deal you need to get in the real world my dear,"['@USER', '@USER', 'Get', 'over', 'yourself', 'where', 'are', 'you', 'going', 'to', 'get', 'another', 'job', 'on', 'that', 'pay', 'with', 'six', 'months', 'full', 'sick', 'pay', 'and', '6', 'months', 'half', 'pay', 'and', 'a', 'great', 'pension', 'deal', 'you', 'need', 'to', 'get', 'in', 'the', 'real', 'world', 'my', 'dear']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.998831
"They suck Tide Pods &amp; drink bleach, it's a miracle these ppl aren't dead from Covid or poisoning themselves or accidentally shooting themselves in the head by now. https://t.co/ZDAzTopnw3",1368335077663518723,"They suck Tide Pods &amp; drink bleach, it's a miracle these ppl aren't dead from Covid or poisoning themselves or accidentally shooting themselves in the head by now. https://t.co/ZDAzTopnw3","['They', 'suck', 'Tide', 'Pods', '&amp;', 'drink', 'bleach', ',', ""it's"", 'a', 'miracle', 'these', 'ppl', ""aren't"", 'dead', 'from', 'Covid', 'or', 'poisoning', 'themselves', 'or', 'accidentally', 'shooting', 'themselves', 'in', 'the', 'head', 'by', 'now', '.', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99785393
